getCappedPath-clone,7
run-getDrawing,2
installDefaults-installColorsAndFont,1
generateFallbackKeys-generateFallbackKeys,272
propertyChange-access$0,127
propertyChange-access$1,9
remove-views,1
main-setViewClassName,1
<init>-getPathIterator,4
addColorButtonsTo-addColorButtonsTo,1
basicGetBounds-getHandlesize,18
basicGetBounds-getLocation,18
createFontButton-configureToolBarButton,1
dispose-destroyView,1
show-start,1
run-addUndoableEditListener,1
getPerpendicularDrawGrowth-getStrokeTotalWidth,145
mouseReleased-getDrawing,6
show-setShowing,1
setEnabled-getActiveView,12
addEdgeResizeHandles-north,2
createEditorColorButton-configureToolBarButton,3
createFontStyleItalicButton-configureToolBarButton,1
drawHandles-draw,66
createToolBars-getString,3
drawStroke-drawCaps,7
findHandle-getSecondaryHandles,69
<init>-setDefaultAttribute,3
mouseDragged-mouseDragged,31
getDrawingArea-getStrokeTotalWidth,34
getMnemonicProperty-getStringRecursive,79
getStrokeTotalWidth-get,680
<init>-userNodeForPackage,1
mousePressed-add,3
setModel-firePropertyChange,1
createToolBars-getEditor,1
createFontStyleItalicButton-createFontStyleItalicButton,2
next-next,32
run-hide,1
addColorButtonsTo-getBundle,1
createToolBars-getBundle,1
updateOpenRecentMenu-getAction,2
addEdgeResizeHandles-south,2
installColors-getInstance,1
<init>-getPresentationName,31
getPreferredSize-getDrawingArea,7
createFontButton-getBundle,1
updateEnabledState-isEnabled,674
remove-remove,32
updateHoverHandles-setView,4
createDrawing-addInputFormat,8
isShowing-isShowing,143
contains-getStrokeTotalWidth,16
fireAreaInvalidated-getView,8
createFontButton-createFontButton,3
run-access$0,3
setUI-installUI,1
drawConstrainer-getCanvasViewBounds,33
run-access$1,3
addCornerResizeHandles-southEast,2
init-initLabels,1
updateCursor-findHandle,69
createFileMenu-addExportFileItems,1
figureAdded-invalidate,3
repaintDrawingArea-drawingToView,65
basicGetBounds-getDrawingArea,1
init-userNodeForPackage,2
append-isDone,12
propertyChange-setHasUnsavedChanges,1
getWindowForComponent-getWindowForComponent,7
createEditMenu-maybeAddSeparator,5
updateEnabledState-setEnabled,6
drawDrawing-getChildCount,23
mouseReleased-getBounds,3
addToSelection-getEditor,3
hide-setShowing,1
canUngroup-getSelectedFigures,3
createStrokeCapButton-getBundle,1
drawCanvas-get,33
updateEnabled-getRecentURIs,1
createFileMenu-addCloseFileItems,1
addPrintFileItems-getActionMap,1
mousePressed-viewToDrawing,3
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$Underfill-values,1
wrapViewComponent-createToolBars,1
setEndPoint-getNodeCount,54
getIconProperty-getStringRecursive,147
createFigure-getEditor,3
drawTool-getActiveView,33
<init>-createEventHandler,5
drawRectangle-getBounds,112
validateViewTranslation-getDrawingArea,4
getHandlesize-getHandleAttribute,18
addAttributesButtonsTo-addStrokeButtonsTo,1
draw-isVisible,34
addAttributesButtonsTo-addColorButtonsTo,1
fireOptionSelected-optionSelected,1
main-setVersion,1
createHelpMenu-getAction,1
getDefaults-initComponentDefaults,1
createView-basicCreateView,1
run-finished,1
createHandles-addResizeHandles,2
paintComponent-setViewRenderingHints,33
drawCaps-getNodeCount,7
mouseMoved-findView,69
hide0-isDocumentModalitySupported,2
figureChanged-fireAreaInvalidated,31
outlineContains-getPathIterator,16
configureMenu-getIconProperty,6
findFigure-contains,18
init-initApplication,1
createEditMenu-addUndoItems,1
updateUI-getUIClassID,1
reshape-invalidate,2
mouseReleased-mouseReleased,3
dispose-removePropertyChangeListener,1
propertyChange-propertyChange,551
drawFill-getPerpendicularFillGrowth,27
start-show,1
addCreationButtonsTo-createSelectionActions,1
itemStateChanged-setTool,6
<init>-north,2
updateApplicationEnabled-isEnabled,12
createEditorColorButton-setAction,3
getView-getActiveView,851
installBorder-getInstance,1
createViewMenu-configureJCheckBoxMenuItem,3
deactivate-getView,6
fireFigureAdded-figureAdded,6
willChange-invalidate,31
discardAllEdits-setHasSignificantEdits,1
draw-drawFill,34
installApplicationListeners-installApplicationListeners,1
createMenuBar-createFileMenu,1
updateEnabledState-canUngroup,9
createEditorColorButton-setPopupAlpha,3
getBorder-get,1
addNode-invalidate,42
<init>-addUndoableEditListener,1
addStrokeButtonsTo-createStrokeDashesButton,1
main-setCopyright,1
<init>-installApplicationListeners,6
componentResized-componentResized,10
basicAdd-addFigureListener,3
addDefaultCreationButtonsTo-setLiner,2
createStrokeJoinButton-createStrokeJoinButton,2
createStrokeJoinButton-getBundle,1
createEditMenu-addFindItems,1
setTool-deactivate,6
activate-activate,15
setViewClassName-firePropertyChange,1
draw-getTool,66
getStrokeTotalWidth-$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokeType,340
createEditorColorButton-getColor,144
installDefaults-installBorder,1
propertyChange-updateView,10
findFigure-findContains,132
contains-get,64
setPopupAlpha-getPopupMenu,3
init-init,1
getSelectionHandles-validateHandles,113
createFileMenu-addPrintFileItems,1
updateView-updateEnabledState,2
add-getColumnCount,210
getName-getName,3
locate-getBounds,16
drawCanvas-setFontRenderContext,33
remove-stop,1
<init>-addToolListener,1
getBounds-basicGetBounds,23
createEditMenu-addPreferencesItems,1
resize-setBounds,2
getStringRecursive-generateFallbackKeys,294
dispose-dispose,3
<init>-updateApplicationEnabled,6
basicGetBounds-getBounds,4
updateFamilyList-getModel,1
createDrawingActions-createDrawingActions,1
start-setActiveView,1
setTool-addToolListener,7
paintComponent-drawDrawingNonvolatileBuffered,33
boundsInvalidated-getView,3
setSelectedFont-getInstance,1
discardAllEdits-updateActions,1
updateFaceList-getFaceList,1
setPoint-invalidate,54
hide-setActiveView,1
<init>-setDrawing,1
updateViewTitle-getString,3
getBezierPath-clone,4
installSheet-isShowAsSheet,2
hasNext-size,379
mouseMoved-contains,37
drawHandles-getActiveView,33
add-getDrawing,6
maybeFireBoundsInvalidated-fireBoundsInvalidated,3
remove-firePropertyChange,1
boundsInvalidated-access$0,3
draw-get,282
showSheet-show,1
drawDrawingNonvolatileBuffered-drawDrawing,23
<init>-west,2
initComponents-getString,3
<init>-updateEnabled,1
createFontStyleBoldButton-getString,1
mouseExited-findView,5
createZoomButton-add,11
createToolBars-addCreationButtonsTo,1
addFontButtonsTo-createFontStyleUnderlineButton,1
setEnabled-isEnabled,1
getPerpendicularDrawGrowth-$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokePlacement,145
drawHandles-validateHandles,33
createView-getViewClass,1
main-setName,1
addStrokeButtonsTo-createStrokePlacementButton,1
isEnabled-isEnabled,86
paintComponent-drawTool,33
createStrokeDashesButton-add,7
show0-isDocumentModalitySupported,1
draw-isTransformable,32
draw-getNode,8
createMenuBar-addOtherMenus,1
contains-getCappedPath,16
getAATileGenerator-isDone,21
setPopupAlpha-getPopupAlpha,3
updateEnabledState-getRealRedoAction,3
run-init,1
initView-isSharingToolsAmongViews,1
addColorButtonsTo-createEditorColorButton,3
addNotify-invalidateHandles,1
getStringRecursive-getStringRecursive,430
findFigure-viewToDrawing,132
<init>-getBundle,199
fireActionPerformed-actionPerformed,3
createFileMenu-getAction,2
updateCollectionList-getRoot,1
<init>-toBufferedImage,1
clear-createDrawing,1
outlineContains-outlineContains,16
mouseMoved-findFigure,63
configureToolBarButton-getTextProperty,1
updateActiveView-setActiveView,1
setEditor-add,1
actionPerformed-getActiveView,1
createMenuBar-createEditMenu,1
configureMenu-getTextProperty,6
areaInvalidated-repaintDrawingArea,62
construct-clear,1
toolStarted-setActiveView,3
dispatch-run,3
dispose-views,1
updateHoverHandles-getDrawingArea,4
setDrawing-addCompositeFigureListener,2
add-getChildCount,3
propertyChange-updateViewTitle,2
addExportFileItems-getActionMap,1
getLocation-getPoint,2
<init>-access$0,2
addSelectionItems-getActionMap,1
createFileMenu-addNewFileItems,1
getPerpendicularFillGrowth-$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokePlacement,27
updateViewTitle-getURI,3
findFigure-findFigure,132
validateViewTranslation-get,8
addFontButtonsTo-createFontStyleBoldButton,1
createStrokeWidthButton-getBundle,1
createViewMenu-getComponent,1
setStartPoint-setPoint,27
doIt-getApplication,2
createEditMenu-addClipboardItems,1
createMenuBar-createViewMenu,1
areaInvalidated-getComponent,4
contains-getPerpendicularHitGrowth,46
createFontStyleBoldButton-getBundle,1
createEditorColorButton-createImage,3
draw-sort,23
addDefaultCreationButtonsTo-addToolTo,15
<init>-setInputMap,17
doIt-dispose,1
viewToDrawing-viewToDrawing,3
createZoomButton-getScaleFactor,1
getConstrainer-isConstrainerVisible,101
getCursor-contains,7
activate-getView,3
getDrawing-getView,12
drawDrawing-setFontRenderContext,23
createStrokeDecorationButton-setColumnCount,1
updateEnabled-isEnabled,44
setHasUnsavedChanges-setHasSignificantEdits,1
addSelectionToolTo-getBundle,1
getStroke-$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokeType,34
addCornerResizeHandles-isTransformable,2
changed-fireFigureChanged,31
optionSelected-getValue,1
mouseMoved-isSelectable,1
createFileMenu-maybeAddSeparator,2
changed-validate,31
draw-supportsHandleInteraction,66
draw-isClosed,8
createEditorColorButton-getIconHeight,3
draw-findIntersects,23
getSecondaryHandles-validateHandles,113
maybeFireBoundsInvalidated-getDrawing,3
getBounds-getBounds2D,36
draw-drawRectangle,56
createViewActionMap-createActionMap,1
canUngroup-getView,21
getLabels-getBundle,1
updateFamilyList-getFamilyList,1
invalidate-invalidatePath,193
removePropertyChangeListener-getTarget,3562
addToSelection-setView,21
setConnectable-setConnectable,3
compare-getLayer,46
createFontStyleItalicButton-getBundle,1
windowClosed-stop,1
setDrawing-validateViewTranslation,2
<init>-configureToolBarButton,1
draw-drawText,34
fire-propertyChange,1764
getDrawingArea-get,136
addUndoItems-getActionMap,1
run-start,1
activate-clearHoverHandles,4
getToolTipTextProperty-getStringRecursive,263
createDrawing-setBounds,2
draw-getDrawingToViewTransform,10
configureAction-getMnemonicProperty,73
draw-isFigureSelected,1
fireAncestorRemoved-ancestorRemoved,3
validate-invalidatePath,10
addStrokeButtonsTo-createStrokeTypeButton,1
actionPerformed-hasUnsavedChanges,1
propertyChange-fireOptionSelected,1
createMenuBar-getMenuBuilder,1
paintImmediately-isShowing,1
getActiveView-getActiveView,59
run-done,1
fireToolDone-toolDone,6
updateCollectionList-getCollectionList,1
setBounds-setEndPoint,27
createZoomButton-createZoomButton,1
createStrokeDecorationButton-add,16
constrainPoint-getView,130
paintComponent-drawConstrainer,33
fireOptionSelected-fireOptionSelected,1
repaintHandles-getSelectionHandles,11
draw-getOwner,56
getFont-get,1
configureToolBarButton-getBaseClass,33
figureChanged-invalidate,31
getCappedPath-isClosed,7
<init>-setActionMap,17
installComponents-updateFamilyList,1
hide-hide0,2
createToggleGridButton-getBundle,1
addCornerResizeHandles-southWest,2
validate-validate,10
fireFigureAdded-getBounds,3
addFindItems-getActionMap,1
$SWITCH_TABLE$org$jhotdraw$draw$AttributeKeys$StrokePlacement-values,1
showSheet-styleFromMessageType,1
actionPerformed-getURI,1
setHasSignificantEdits-firePropertyChange,5
boundsInvalidated-getDrawing,6
<init>-init,1
drawStroke-isClosed,7
setTool-firePropertyChange,7
activate-repaintHandles,11
addEdgeResizeHandles-east,2
updateView-updateView,14
run-getValue,1
main-setModel,1
addSelectionToolTo-setTool,1
mouseReleased-maybeFireBoundsInvalidated,3
<init>-createActionMap,18
updateView-updateEnabled,10
installColors-getColor,2
addToSelection-addFigureListener,3
createStrokeTypeButton-getBundle,1
repaintParentIfNeeded-isShowing,2
add-fireFigureAdded,3
creationFinished-isSelectable,3
get-getCachedDefaults,5
paintComponent-drawCanvas,33
createStrokeDashesButton-getBundle,1
getFormatted-getString,243
createStrokeDashesButton-configureToolBarButton,1
invalidate-invalidateDimension,8
focusLost-focusLost,4
launch-getOpenURIsFromMainArgs,1
drawDrawing-draw,23
canGroup-getSelectionCount,6
fireItemStateChanged-itemStateChanged,12
setConnectable-firePropertyChange,23
createMenuBar-getModel,1
createFontStyleItalicButton-getString,1
activate-setTarget,11
draw-getEditor,218
addNotify-invalidate,1
clearSelection-fireSelectionChanged,2
mousePressed-fireToolStarted,3
createView-createViewActionMap,1
setActiveView-activate,1
updateHoverHandles-createHandles,2
hash-hashCode,2792
updateCursor-findFigure,69
getCappedPath-invalidatePath,7
addDefaultCreationButtonsTo-set,1
addStrokeButtonsTo-createStrokeWidthButton,1
basicGetBounds-get,4
creationFinished-isToolDoneAfterCreation,3
<init>-registerEventHandler,11
updateViewTitle-getMultipleOpenId,3
paint-paintComponent,33
getStroke-get,238
draw-getStroke,34
findHandle-getSelectionHandles,69
<init>-initActions,1
createOpenRecentFileMenu-getAction,3
mouseMoved-mouseMoved,734
mousePressed-getView,3
start-createView,1
areaInvalidated-fireAreaInvalidated,35
updateEnabledState-getView,643
createMenuBar-getString,5
runWorker-run,1
addStrokeButtonsTo-createStrokeDecorationButton,1
addAttributesButtonsTo-addFontButtonsTo,1
addDefaultCreationButtonsTo-getPrototype,3
getHandleAttribute-getDefaultValue,170
pack-addNotify,1
set-set,59
next-isDone,102
addClipboardItems-getActionMap,1
getNode-clone,8
installListeners-addTreeModelListener,1
mouseMoved-viewToDrawing,69
remove-getActiveView,1
mousePressed-mousePressed,6
addFontButtonsTo-createFontStyleItalicButton,1
createFontStyleUnderlineButton-configureToolBarButton,1
addDefaultCreationButtonsTo-addSelectionToolTo,1
createWindowMenu-configureMenu,1
createStrokePlacementButton-getBundle,1
drawCanvas-drawCanvas,33
addResizeHandles-isTransformable,2
updateCollectionList-getChildCount,1
mouseExited-mouseExited,15
setEditor-updateEnabledState,231
hide-isAnimated,2
focusGained-findView,2
installComponents-updatePreview,1
<init>-toRGB,168
setEditor-unregisterEventHandler,231
findIntersects-findIntersects,46
focusGained-focusGained,4
setDrawing-removeCompositeFigureListener,1
addNewFileItems-getActionMap,1
createFontStyleUnderlineButton-getBundle,1
addToolTo-configureToolBarButton,15
stop-views,2
installListeners-getFaceList,3
<init>-southEast,2
installListeners-getModel,2
updatePreview-getSelectedFont,1
createSheet-getWindowForComponent,1
viewToDrawing-constrainPoint,3
createToolBars-addAlignmentButtonsTo,1
fireAncestorMoved-ancestorMoved,15
setDrawing-clearSelection,1
wrapViewComponent-getComponent,2
paintComponent-drawBackground,33
mouseMoved-getSelectedFigures,69
addSaveFileItems-getActionMap,1
updateFamilyList-getSelectionPath,1
drawFill-isClosed,7
init-initLookAndFeel,1
initActions-getUndoAction,1
<clinit>-getColor,240
updateOpenRecentMenu-getRecentURIs,2
actionPerformed-getBundle,1
addEdgeResizeHandles-isTransformable,2
areaInvalidated-invalidateDimension,62
drawBackground-get,99
<init>-setEditor,232
addAlignmentButtonsTo-addAlignmentButtonsTo,1
updateHoverHandles-fireAreaInvalidated,4
validateHandles-getEditor,3
figureAdded-getChildCount,3
initSystemColorDefaults-isNativeLookAndFeel,1
setCopyright-firePropertyChange,1
createStrokeCapButton-getString,3
createViewMenu-addOtherViewItems,1
componentMoved-componentMoved,2
updateViewTitle-getTitle,3
